id_segmento,segmento_jusante
540543,544397
542190,543905
543905,544397
544397,544931
545471,543905
545472,545471
546617,547708
547708,545471
548228,547708
550065,549471
550066,552816
551141,552816
551718,544931
551719,551718
551720,554482
552261,549471
552262,557198
552816,553383
552817,553383
552818,556142
553380,552261
553381,549471
553382,551718
553383,556142
553938,553381
553939,554482
554482,555585
555022,557196
555023,555585
555583,552261
555584,553381
555585,558224
556139,555583
556140,561475
556141,557198
556142,557198
556651,564199
557196,557195
557197,555583
557198,561476
557703,558224
558224,558733
558731,557196
558732,558733
558733,559269
558734,565855
559266,558731
559267,561475
559268,559269
559269,562031
559270,565857
559271,563121
560380,563638
560381,561474
560382,561474
561473,558731
561474,562029
561475,569746
561476,564800
562025,557195
562026,561473
562027,562026
562028,562027
562029,563638
562030,566366
562031,561476
562032,563121
562589,562029
562590,562031
563121,565858
563636,561473
563637,562027
563638,563637
563639,564199
563649,564808
563651,568697
564199,564800
564200,565859
564201,566915
564213,573060
564214,564808
564799,563637
564800,565854
564808,570852
565328,566915
565337,566378
565340,566379
565341,568151
565848,564799
565849,566366
565850,568688
565851,565852
565852,565853
565853,565854
565854,566367
565855,565856
565856,565857
565857,565858
565858,565859
565859,569216
565869,571899
565870,569754
566365,565848
566366,568688
566367,566914
566368,565856
566377,566378
566378,567524
566912,564799
566913,565852
566914,565855
566915,569217
566919,568151
567511,569746
567512,566913
567523,574097
567525,565340
567526,566379
568134,565848
568135,568686
568136,568686
568137,566368
568145,572483
568146,567526
568147,567524
568148,567526
568149,568150
568150,572487
568151,568697
568686,570842
568687,571894
568688,571894
568689,566913
568690,569218
568695,570852
568696,568148
568697,572489
569211,562026
569212,570842
569213,568689
569214,566367
569215,569216
569216,569217
569217,569218
569226,569754
569746,571893
569747,566914
569748,569215
569754,571899
569755,569756
569756,568150
570294,566368
570299,573058
570300,576307
570839,572471
570840,569211
570841,570840
570842,571365
570850,577970
570851,572483
570852,572484
570853,572484
571364,569211
571365,571893
571366,568689
571367,565853
571374,573570
571375,577972
571376,569756
571892,570840
571893,573559
571894,574614
571899,574097
572472,573559
572473,573559
572474,574614
572481,573058
572482,581266
572483,573060
572484,574098
572485,576307
572486,572487
572487,576880
572488,572489
573058,575176
573059,578567
573060,573570
573061,568148
573558,571365
573559,574613
573560,569215
573570,575177
573571,572489
574089,576294
574096,575176
574097,580174
574098,575177
574099,576306
574611,573558
574612,574613
574613,576867
574614,578558
574623,582959
575174,576294
575176,579084
575177,578567
575749,572471
575750,576867
575751,577435
575752,571895
575753,571895
575765,577970
575766,579084
575767,576880
576293,573558
576294,580165
576305,576877
576306,574098
576307,576306
576866,575749
576867,577435
576868,578558
576869,577436
576870,577436
576877,579082
576878,576877
576879,577972
576880,578568
577435,578558
577436,579070
577437,575752
577963,575749
577969,581264
577970,581830
577971,581831
577972,586936
577973,578568
578557,575749
578558,582383
578559,580721
578560,586235
578561,579071
578562,575752
578567,580174
578568,579624
578569,579624
579068,580164
579069,580165
579070,579071
579071,577437
579072,578562
579073,579072
579082,581264
579083,579082
579084,580729
579085,579620
579086,576306
579087,579622
579617,580164
579619,588067
579620,582401
579621,579620
579622,579086
579623,580175
579624,584080
580162,578557
580163,578557
580164,582381
580165,582946
580166,579072
580173,580729
580174,581266
